	addr	lat	long
203	26 ponus rdg, new canaan, ct 06840	41.1150949	-73.5173669
204	308 ponus rdg, new canaan, ct 06840	41.12431	-73.520336
205	196 ponus rdg, new canaan, ct 06840	41.120427	-73.519024
206	98 skyview ln, new canaan, ct 06840	41.123235	-73.521965
207	915 oenoke rdg, new canaan, ct 06840	41.175908	-73.514114
208	283 old stamford rd, new canaan, ct 06840	41.128771	-73.494608
209	279 old stamford rd, new canaan, ct 06840	41.128659	-73.496148
210	275 old stamford rd, new canaan, ct 06840	41.1295776	-73.4951337
211	277 old stamford rd, new canaan, ct 06840	41.129208	-73.496368
212	281 old stamford rd, new canaan, ct 06840	41.128825	-73.495229
213	114 skyview ln, new canaan, ct 06840	41.122787	-73.521698
214	277 davenport ridge rd, new canaan, ct 06840	41.1263099	-73.521527
215	291 davenport ridge rd, new canaan, ct 06840	41.126282	-73.520865
216	59 weed st, new canaan, ct 06840	41.123022	-73.499089
217	46 charter oak dr, new canaan, ct 06840	41.116742	-73.482827
218	208 ponus rdg, new canaan, ct 06840	41.120937	-73.519067
219	130 skyview ln, new canaan, ct 06840	41.122236	-73.521282
220	178 skyview ln, new canaan, ct 06840	41.121335	-73.521063
221	196 skyview ln, new canaan, ct 06840	41.120714	-73.520319
222	66 skyview ln, new canaan, ct 06840	41.12431	-73.520336
223	366 ponus rdg, new canaan, ct 06840	41.1234818	-73.519328
224	350 ponus rdg, new canaan, ct 06840	41.1258157	-73.5209541
225	336 ponus rdg, new canaan, ct 06840	41.1254042	-73.5199472
226	320 ponus rdg, new canaan, ct 06840	41.12476	-73.5199663
227	14 skyview ln, new canaan, ct 06840	41.126046	-73.5226477
228	54 skyview ln, new canaan, ct 06840	41.1243707	-73.5231649
229	657 weed st, new canaan, ct 06840	41.142407	-73.501741
230	326 ponus rdg, new canaan, ct 06840	41.1250819	-73.5192974
231	15 ponus rdg, new canaan, ct 06840	41.114645	-73.515267
232	106 bennington pl, new canaan, ct 06840	41.137571	-73.522541
233	108 bennington pl, new canaan, ct 06840	41.1371569	-73.5225022
234	29 hawks hill rd, new canaan, ct 06840	41.117126	-73.515691
235	49 hawks hill rd, new canaan, ct 06840	41.117299	-73.514875
236	63 hawks hill rd, new canaan, ct 06840	41.117162	-73.514083
237	72 woodway ridge ln, new canaan, ct 06840	41.117173	-73.513464
238	82 woodway ridge ln, new canaan, ct 06840	41.1169889	-73.5127739
239	111 hawks hill rd, new canaan, ct 06840	41.116926	-73.5119519
240	107 dunning rd, new canaan, ct 06840	41.156614	-73.514458
241	109 dunning rd, new canaan, ct 06840	41.15646	-73.515666
242	5 woodway ridge ln, new canaan, ct 06840	41.1156059	-73.5161631
243	37 woodway ridge ln, new canaan, ct 06840	41.116012	-73.514396
244	65 woodway ridge ln, new canaan, ct 06840	41.116264	-73.513794
245	698 smith ridge rd, new canaan, ct 06840	41.178178	-73.500078
246	27 w cross rd, new canaan, ct 06840	41.1163669	-73.512148
247	288 smith ridge rd, new canaan, ct 06840	41.164982	-73.495803
248	296 smith ridge rd, new canaan, ct 06840	41.1648799	-73.496437
249	49 w cross rd, new canaan, ct 06840	41.115814	-73.512344
250	306 smith ridge rd, new canaan, ct 06840	41.16527	-73.49686
251	30 richards ln, new canaan, ct 06840	41.129709	-73.4966139
252	83 w cross rd, new canaan, ct 06840	41.115367	-73.513508
253	95 w cross rd, new canaan, ct 06840	41.11521	-73.514039
254	109 w cross rd, new canaan, ct 06840	41.115056	-73.5145579
255	19 ponus rdg, new canaan, ct 06840	41.115025	-73.5154419
256	621 old stamford rd, new canaan, ct 06840	41.1185059	-73.499318
257	64 jelliff mill rd, new canaan, ct 06840	41.118229	-73.501132
258	174 jelliff mill rd, new canaan, ct 06840	41.1188209	-73.5065344
259	186 jelliff mill rd, new canaan, ct 06840	41.1187886	-73.5071785
260	320 jelliff mill rd, new canaan, ct 06840	41.119309	-73.512948
261	268 jelliff mill rd, new canaan, ct 06840	41.119293	-73.510498
262	136 jelliff mill rd, new canaan, ct 06840	41.118604	-73.50511
263	691 old stamford rd, new canaan, ct 06840	41.116385	-73.50126
264	707 old stamford rd, new canaan, ct 06840	41.115884	-73.500376
265	158 hawks hill rd, new canaan, ct 06840	41.117488	-73.5098749
266	235 hawks hill rd, new canaan, ct 06840	41.115785	-73.5068129
267	286 hawks hill rd, new canaan, ct 06840	41.114593	-73.50456
268	284 hawks hill rd, new canaan, ct 06840	41.115193	-73.504532
269	683 old stamford rd, new canaan, ct 06840	41.11536	-73.5024849
270	234 hawks hill rd, new canaan, ct 06840	41.116865	-73.506011
271	216 hawks hill rd, new canaan, ct 06840	41.117025	-73.506995
272	200 hawks hill rd, new canaan, ct 06840	41.117197	-73.507878
273	180 hawks hill rd, new canaan, ct 06840	41.117336	-73.508905
274	213 hawks hill rd, new canaan, ct 06840	41.116051	-73.507595
275	111 ponus rdg, new canaan, ct 06840	41.118077	-73.516649
276	20 hawks hill rd, new canaan, ct 06840	41.118068	-73.515983
277	68 hawks hill rd, new canaan, ct 06840	41.1179739	-73.51389
278	108 hawks hill rd, new canaan, ct 06840	41.117723	-73.511948
279	144 hawks hill rd, new canaan, ct 06840	41.1175629	-73.510625
280	143 e cross rd, new canaan, ct 06840	41.114711	-73.5099819
281	115 e cross rd, new canaan, ct 06840	41.1146249	-73.5087889
282	175 hawks hill rd, new canaan, ct 06840	41.116439	-73.508921
283	183 e cross rd, new canaan, ct 06840	41.115616	-73.509339
284	257 hawks hill rd, new canaan, ct 06840	41.115446	-73.506093
285	285 hawks hill rd, new canaan, ct 06840	41.114787	-73.506195
286	681 old stamford rd, new canaan, ct 06840	41.116582	-73.503555
287	723 old stamford rd, new canaan, ct 06840	41.115274	-73.500804
288	747 old stamford rd, new canaan, ct 06840	41.114747	-73.501423
289	719 old stamford rd, new canaan, ct 06840	41.115718	-73.501516
290	67 woodridge dr, new canaan, ct 06840	41.162762	-73.520318
291	31 ledge ave, new canaan, ct 06840	41.150324	-73.486637
292	210 talmadge hill rd, new canaan, ct 06840	41.114672	-73.495559
293	316 talmadge hill rd, new canaan, ct 06840	41.1158182	-73.4993988
294	292 talmadge hill rd, new canaan, ct 06840	41.1154439	-73.498531
295	312 talmadge hill rd, new canaan, ct 06840	41.114845	-73.498571
296	642 old stamford rd, new canaan, ct 06840	41.117814	-73.498515
297	568 old stamford rd, new canaan, ct 06840	41.120517	-73.498465
298	584 old stamford rd, new canaan, ct 06840	41.119887	-73.498317
299	610 old stamford rd, new canaan, ct 06840	41.118936	-73.498324
300	618 old stamford rd, new canaan, ct 06840	41.1186549	-73.498372
301	638 old stamford rd, new canaan, ct 06840	41.118098	-73.498433
302	90 marshall ridge rd, new canaan, ct 06840	41.138846	-73.499395
303	116 marshall ridge rd, new canaan, ct 06840	41.137813	-73.498917
304	144 marshall ridge rd, new canaan, ct 06840	41.136747	-73.498681
305	425 weed st, new canaan, ct 06840	41.134424	-73.503353
306	235 old stamford rd, new canaan, ct 06840	41.130472	-73.495677
307	57 richards ln, new canaan, ct 06840	41.1296279	-73.497831
308	80 richards ln, new canaan, ct 06840	41.128542	-73.498214
309	62 richards ln, new canaan, ct 06840	41.128696	-73.497193
310	5 high view ter, new canaan, ct 06840	41.12691	-73.49511
311	381 old stamford rd, new canaan, ct 06840	41.12566	-73.496046
312	461 old stamford rd, new canaan, ct 06840	41.124557	-73.498298
313	21 high view ter, new canaan, ct 06840	41.126878	-73.495962
314	16 high view ter, new canaan, ct 06840	41.126199	-73.495607
315	32 high view ter, new canaan, ct 06840	41.126164	-73.496552
316	31 high view ter, new canaan, ct 06840	41.126758	-73.496879
317	34 high view ter, new canaan, ct 06840	41.126222	-73.497845
318	459 old stamford rd, new canaan, ct 06840	41.124109	-73.497743
319	469 old stamford rd, new canaan, ct 06840	41.123616	-73.498181
320	50 marshall ridge rd, new canaan, ct 06840	41.140036	-73.497997
321	57 summit ridge rd, new canaan, ct 06840	41.1280209	-73.49702
322	65 summit ridge rd, new canaan, ct 06840	41.1279139	-73.498002
323	66 summit ridge rd, new canaan, ct 06840	41.127409	-73.498096
324	64 summit ridge rd, new canaan, ct 06840	41.127302	-73.497384
325	50 summit ridge rd, new canaan, ct 06840	41.127364	-73.4964789
326	34 summit ridge rd, new canaan, ct 06840	41.127415	-73.4956349
327	12 summit ridge rd, new canaan, ct 06840	41.127476	-73.494814
328	52 old studio rd, new canaan, ct 06840	41.130159	-73.498178
329	213 old stamford rd, new canaan, ct 06840	41.131317	-73.495198
330	32 old studio rd, new canaan, ct 06840	41.130878	-73.496687
331	58 old studio rd, new canaan, ct 06840	41.130732	-73.497674
332	68 old studio rd, new canaan, ct 06840	41.130959	-73.498568
333	80 old studio rd, new canaan, ct 06840	41.131416	-73.498761
334	88 old studio rd, new canaan, ct 06840	41.132022	-73.498766
335	433 old stamford rd, new canaan, ct 06840	41.125659	-73.4968559
336	429 old stamford rd, new canaan, ct 06840	41.12496	-73.49648
337	391 weed st, new canaan, ct 06840	41.133396	-73.503054
338	367 weed st, new canaan, ct 06840	41.132921	-73.502667
339	107 weed st, new canaan, ct 06840	41.124746	-73.499667
340	99 weed st, new canaan, ct 06840	41.124476	-73.499606
341	225 weed st, new canaan, ct 06840	41.1285079	-73.499463
342	463 weed st, new canaan, ct 06840	41.135061	-73.502779
343	94 marshall ridge rd, new canaan, ct 06840	41.139018	-73.498679
344	229 weed st, new canaan, ct 06840	41.129266	-73.500343
345	177 weed st, new canaan, ct 06840	41.1269599	-73.501007
346	145 weed st, new canaan, ct 06840	41.125821	-73.500669
347	28 richmond hill rd, new canaan, ct 06840	41.143204	-73.495845
348	20 richmond hill rd, new canaan, ct 06840	41.143407	-73.49565
349	167 park st, new canaan, ct 06840	41.14364	-73.4951169
350	110 richmond hill rd, new canaan, ct 06840	41.141728	-73.498886
351	118 richmond hill rd, new canaan, ct 06840	41.141851	-73.499409
352	136 richmond hill rd, new canaan, ct 06840	41.141582	-73.5001149
353	16 marshall ridge rd, new canaan, ct 06840	41.141169	-73.500386
354	39 old stamford rd, new canaan, ct 06840	41.136914	-73.495619
355	87 old stamford rd, new canaan, ct 06840	41.135621	-73.496837
356	99 old stamford rd, new canaan, ct 06840	41.135521	-73.497286
357	67 weed st, new canaan, ct 06840	41.1232235	-73.4997311
358	51 weed st, new canaan, ct 06840	41.122822	-73.499379
359	47 weed st, new canaan, ct 06840	41.122649	-73.499052
360	533 old stamford rd, new canaan, ct 06840	41.12174	-73.499205
361	507 old stamford rd, new canaan, ct 06840	41.1223	-73.498848
362	65 ash tree ln, new canaan, ct 06840	41.134368	-73.500469
363	96 marshall ridge rd, new canaan, ct 06840	41.139098	-73.498051
364	106 marshall ridge rd, new canaan, ct 06840	41.1385099	-73.498085
365	108 marshall ridge rd, new canaan, ct 06840	41.138006	-73.498011
366	249 old stamford rd, new canaan, ct 06840	41.130015	-73.4949029
367	19 richards ln, new canaan, ct 06840	41.129846	-73.495665
368	303 weed st, new canaan, ct 06840	41.133362	-73.49991
369	297 weed st, new canaan, ct 06840	41.131302	-73.500504
370	311 weed st, new canaan, ct 06840	41.131832	-73.501218
371	341 weed st, new canaan, ct 06840	41.132107	-73.502418
372	405 weed st, new canaan, ct 06840	41.133956	-73.502802
373	47 ash tree ln, new canaan, ct 06840	41.133736	-73.501497
374	57 ash tree ln, new canaan, ct 06840	41.133552	-73.500641
375	128 marshall ridge rd, new canaan, ct 06840	41.137453	-73.498411
376	289 weed st, new canaan, ct 06840	41.130481	-73.500252
377	275 park st unit 1, new canaan, ct 06840	41.139907	-73.494584
378	275 park st unit 2, new canaan, ct 06840	41.139907	-73.494584
379	275 park st unit 3, new canaan, ct 06840	41.139907	-73.494584
380	277 park st unit 4, new canaan, ct 06840	41.139804	-73.494488
381	277 park st unit 5, new canaan, ct 06840	41.139804	-73.494488
382	279 park st unit 6, new canaan, ct 06840	41.139781	-73.494819
383	279 park st unit 7, new canaan, ct 06840	41.139781	-73.494819
384	289 park st unit 289, new canaan, ct 06840	41.1397963	-73.4942012
385	345 park st, new canaan, ct 06840	41.137667	-73.494479
386	337 park st, new canaan, ct 06840	41.1378739	-73.494468
387	173 park st, new canaan, ct 06840	41.143402	-73.49509
388	12 richmond hill rd, new canaan, ct 06840	41.143506	-73.495423
389	129 weed st, new canaan, ct 06840	41.125724	-73.500213
390	131 weed st, new canaan, ct 06840	41.125699	-73.499504
391	127 weed st, new canaan, ct 06840	41.12521	-73.500493
392	117 weed st, new canaan, ct 06840	41.125272	-73.500092
393	119 weed st, new canaan, ct 06840	41.125331	-73.499732
394	115 weed st, new canaan, ct 06840	41.124995	-73.499937
395	193 park st unit 1, new canaan, ct 06840	41.142695	-73.495361
396	193 park st unit 2, new canaan, ct 06840	41.142695	-73.495361
397	193 park st unit 3, new canaan, ct 06840	41.142695	-73.495361
398	193 park st unit 4, new canaan, ct 06840	41.142695	-73.495361
399	193 park st unit 5, new canaan, ct 06840	41.142695	-73.495361
400	187 park st unit 6, new canaan, ct 06840	41.1427989	-73.495032
401	187 park st unit 7, new canaan, ct 06840	41.1427989	-73.495032
402	187 park st unit 8, new canaan, ct 06840	41.1427989	-73.495032
403	187 park st unit 9, new canaan, ct 06840	41.1427989	-73.495032
404	187 park st unit 10, new canaan, ct 06840	41.1427989	-73.495032
405	179 park st unit 11, new canaan, ct 06840	41.143233	-73.494962
406	179 park st unit 12, new canaan, ct 06840	41.143233	-73.494962
407	179 park st unit 14, new canaan, ct 06840	41.143233	-73.494962
408	187 weed st, new canaan, ct 06840	41.127294	-73.5003909
409	173 weed st, new canaan, ct 06840	41.126652	-73.500819
410	159 weed st, new canaan, ct 06840	41.126968	-73.500023
411	155 weed st, new canaan, ct 06840	41.1262619	-73.499557
412	153 weed st, new canaan, ct 06840	41.126167	-73.500443
413	162 marshall ridge rd, new canaan, ct 06840	41.136045	-73.499658
414	174 marshall ridge rd, new canaan, ct 06840	41.135511	-73.500102
415	67 ash tree ln, new canaan, ct 06840	41.1346149	-73.499735
416	210 marshall ridge rd, new canaan, ct 06840	41.136722	-73.501476
417	146 old studio rd, new canaan, ct 06840	41.133897	-73.498434
418	148 old studio rd, new canaan, ct 06840	41.134405	-73.498218
